Environmental Justice in Tech,Card 1,Card 2,Card 3,Card 4,Cards 5 and 18,Card 6,Cards 7 and 9,Card 8,Card 10,Card 11,Card 12,Card 13,Card 14,Cards 15 and 19,Card 16,Card 17,Card 20
Principles for Environmental Justice in Technology: Toward a Regenerative Future,EJIT Principle: Environmentally just technology is explicitly anti-racist.,EJIT Principle: Environmental justice in technology calls for responsible innovation in every aspect of technological creation. Responsible innovation occurs when: all people are provided the resources to innovate; all potential uses of the innovation are accounted for to prepare for contingencies; Empathy is central to innovation and its creative intent.,EJIT Principle: Environmental justice in technology empowers those who wish to live without certain technologies. It demands preserving traditional Indigenous ways of living without interference from capitalist and corporate technologies.,"EJIT Principle: Environmental justice in tech means refusing to cooperate with or arm the military-industrial complex, prisons, or police. Environmentally just tech is used to elevate all ordinary people, not to oppress any of them with violence or the threat of it.",EJIT Principle: Environmental justice in technology demands that democracy be the foundation of all of its endeavors. A democratic and community-centric environment is necessary to have a just world.,EJIT Principle: Environmentally just technology dismantles capitalist-centric development and does not harm economic vitality. It promotes equitable and just income (re)distribution across the world.,EJIT Principle: Environmentally just technology preserves the beauty and utility of the natural world for future generations.,"EJIT Principle: Environmental justice in technology means having a harmonious relationship with the Earth and with all life. Environmentally just tech has a collaborative, regenerative, and sustainable relationship with the natural world, not an extractive relationship.","EJIT Principle: Environmentally just technology is open-source. Environmentally just tech makes all information about its creation (including blueprints, instructions/manuals, and information for repair) freely available and accessible to empower everyone to make, repair, modify, and develop their technology.",EJIT Principle: Environmental justice in technology requires that the burdens and benefits of technology be equally shared amongst all people. Environmentally just tech will never empower one group at the expense of another.,EJIT Principle: Environmental justice in technology strives to eliminate global and local burdens inherent in its creation.,"EJIT Principle: Environmental justice in technology calls for the deployment of technology where and when it is appropriate and beneficial to its local community. When these criteria are not met, environmentally just technology is not deployed.","EJIT Principle: Environmental justice in technology provides for the cleanup and restoration of lands, waters, and communities that have been harmed by past uses of technology.","EJIT Principle: Environmental justice in technology calls for the removal of colonial and neocolonial intentions with technology; instead, it encourages self-determination, freedom, and repatriation.","EJIT Principle: Environmentally just technology is not separate from nature, Earth, and the environment. Rather, it works synergistically with nature.",EJIT Principle: Environmentally Just Tech is intentional about harm. It is cognizant of who a given technology helps and who it harms.,"ENVISIONING, COLLECTIVE FUTURES"
Critical Technical Awakenings | TUP Journals & Magazine | IEEE Xplore,Unmasking AI by Joy Buolamwini: 9780593241844 | PenguinRandomHouse.com: Books,https://www.beyondstickynotes.com/ (book and guidance for co-design),"Rebecca Adamson: ""Enoughness: Indigenous Economics 101"" - YouTube",https://kanaeokana.net/militarism,Sociocracy Primer,ESG Explained: Socially Conscious Capitalism and Its Backlash,https://traumainformedhousing.poah.org/what-is-trauma-informed-design,Biomimicry - YouTube,,"Thomas Sowell - ""Trickle Down"" Theory",,"Justice: What's The Right Thing To Do? Episode 01 ""THE MORAL SIDE OF MURDER""",,A History of Indigenous Women with Lily Gladstone: Ep 19 of Crash Course Native American History - YouTube,The Consilience Project | Technology is Not Values Neutral: Ending the Reign of Nihilistic Design - The Consilience Project,Carbon Inequality - Global Inequality,
Environmental Justice - an overview | ScienceDirect Topics,,,,https://www.theguardian.com/world/2025/aug/06/microsoft-israeli-military-palestinian-phone-calls-cloud,ostrom_1990.pdf,The Shock Doctrine [2009] Documentary by Naomi Klein - YouTube,,,,,,,,"Rebecca Adamson: ""Enoughness: Indigenous Economics 101"" - YouTube",[Official Release]The Superior Human?-2012 documentary[Green|Animal Rights|Speciesism],Smartphones: It’s Time to Confront Our Global Addiction | Dr. Justin Romano | TEDxOmaha,
DEFINING ENVIRONMENTAL JUSTICE AND ENVIRONMENTAL RACISM1,,,,,,https://www.bcorporation.net/en-us/,,,,,,,,,,THE TRAUMA OF TECHNOLOGY | Thomas Hübl | TEDxMarin - YouTube,
,,,,,,The Problem with B Corp ‘Conscious Capitalism’ - Dame Magazine,,,,,,,,,,Trauma-Informed Computing: Towards Safer Technology Experiences for All - YouTube,
,,,,,,Who bears the burden of climate inaction? | Brookings,,,,,,,,,,,
,,,,,,"OpenAI Reverses Course, Says Its Nonprofit Will Continue to Control Business",,,,,,,,,,,
,,,,,,The Economics of Climate Change | Steve Keen - YouTube,,,,,,,,,,,
,,,,,,What Doughnut Economics Can Learn From History | Roman Krznaric & Kate Raworth,,,,,,,,,,,
,,,,,,https://www.tandfonline.com/doi/epdf/10.1080/09538259.2025.2524265?needAccess=true,,,,,,,,,,,
